date,water_level,volume,TDS,K,Na,Mg,Ca,SO4,Cl,HCO3,CO3,density
5/1/1987,1275.93,23.50,235,0.832072617,86.35905194,11.90115986,0.907715582,5.739722708,94.1314524,0.128824887,0,1.146
10/1/1987,1275.29,20.04,251,0.832755031,86.56025908,11.82049503,0.786490863,5.45861715,94.42941122,0.111971634,0,1.159
,,,,,,,,,,,,
,,,,,,,,,,,,
