level,TDS_estimated
1270.3,373.28085865544944
1270.3999999999999,373.28085865544944
1270.5,373.2808586554469
1270.6,373.2808586553096
1270.7,373.28085865117515
1270.8,373.28085857475475
1270.8999999999999,373.28085763792285
1271.0,373.2808495196701
1271.1,373.2807971003591
1271.2,373.28053361329796
1271.3,373.2794642157117
1271.3999999999999,373.27585064335625
1271.5,373.2654192103967
1271.6,373.2391285727862
1271.7,373.180205236482
1271.8,373.0609286523205
1271.8999999999999,372.8399644473042
1272.0,372.4611490997273
1272.1,371.8544564713188
1272.2,370.9394708767197
1272.3,369.6311710070767
1272.3999999999999,367.8473311978796
1272.5,365.5164878802379
1272.6,362.5852761326479
1272.7,359.0240412344299
1272.8,354.8299460906092
1272.8999999999999,350.0272500801814
1273.0,344.664918884141
1273.1,338.8121277704349
1273.2,332.55246395893374
1273.3,325.97769023547164
1273.3999999999999,319.1818267422199
1273.5,312.2560995602828
1273.6,305.28506112655174
1273.7,298.34396476307984
1273.8,291.4973072886462
1273.8999999999999,284.79835060324825
1274.0,278.28938924254373
1274.1,272.0025313374322
1274.2,265.9607883384932
1274.3,260.179309691664
1274.4,254.6666418564284
1274.5,249.42593026773613
1274.6,244.4560150255686
1274.7,239.75239551707958
1274.8,235.30805642945052
1274.9,231.1141589144706
1275.0,227.16060739099612
1275.1,223.43650589090916
1275.2,219.93051902965112
1275.3,216.63115243078178
1275.4,213.52696635363384
1275.5,210.60673477697662
1275.6,207.85956055000088
1275.7,205.27495560378563
1275.8,202.84289371507197
1275.9,200.5538419769892
1276.0,198.39877597368087
1276.1,196.36918267377555
1276.2,194.45705423908214
1276.3,192.6548752704426
1276.4,190.95560546339837
1276.5,189.3526592029508
1276.6,187.83988327114454
1276.7,186.4115335587358
1276.8,185.06225144861517
1276.9,183.78704036315685
1277.0,182.58124283077697
1277.1,181.44051832059503
1277.2,180.36082201249937
1277.3,179.3383846073938
1277.4,178.36969323522982
1277.5,177.4514734832586
1277.6,176.5806725408718
1277.7,175.75444343881426
1277.8,174.97013034733638
1277.9,174.22525488900675
1278.0,173.51750341636722
